OTU	C1cDNA	C1DNA	C2cDNA	C2DNA	C3cDNA	C3DNA	C4cDNA	C4DNA	C5cDNA	C5DNA	C6cDNA	C6DNA	C7cDNA	C7DNA	C8cDNA	C8DNA	D1cDNA	D1DNA	D2cDNA	D2DNA	D3cDNA	D3DNA	D4cDNA	D4DNA	D5cDNA	D5DNA	D6cDNA	D6DNA	D7cDNA	D7DNA	D8cDNA	D8DNA	N1cDNA	N1DNA	N2cDNA	N2DNA	N3cDNA	N3DNA	N4cDNA	N4DNA	N5cDNA	N5DNA	N6cDNA	N6DNA	N7cDNA	N7DNA	N8cDNA	N8DNA	taxonomy
620027	14.0	7.0	4.0	10.0	17.0	17.0	66.0	20.0	10.0	8.0	15.0	17.0	23.0	20.0	51.0	44.0	79.0	3.0	89.0	11.0	102.0	7.0	69.0	4.0	86.0	23.0	71.0	8.0	73.0	8.0	93.0	18.0	11.0	14.0	19.0	15.0	9.0	7.0	10.0	10.0	13.0	10.0	48.0	3.0	27.0	14.0	17.0	26.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_dn_70	29.0	5.0	20.0	6.0	46.0	29.0	23.0	24.0	14.0	7.0	54.0	24.0	21.0	31.0	32.0	5.0	7.0	7.0	5.0	21.0	13.0	8.0	3.0	12.0	17.0	12.0	10.0	24.0	13.0	23.0	18.0	24.0	14.0	10.0	19.0	7.0	11.0	24.0	11.0	45.0	28.0	24.0	21.0	9.0	5.0	10.0	24.0	19.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
104646	197.0	97.0	179.0	69.0	109.0	23.0	80.0	29.0	142.0	54.0	81.0	18.0	207.0	52.0	125.0	50.0	79.0	47.0	87.0	101.0	97.0	51.0	75.0	27.0	53.0	75.0	83.0	50.0	92.0	54.0	111.0	33.0	178.0	38.0	75.0	14.0	195.0	21.0	194.0	21.0	53.0	21.0	119.0	36.0	121.0	22.0	221.0	26.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__
OTU_dn_45	85.0	31.0	66.0	20.0	23.0	52.0	76.0	42.0	44.0	35.0	20.0	4.0	104.0	39.0	68.0	25.0	11.0	61.0	15.0	7.0	20.0	22.0	22.0	5.0	19.0	24.0	11.0	11.0	17.0	24.0	27.0	43.0	6.0	32.0	7.0	0.0	18.0	11.0	13.0	17.0	8.0	10.0	29.0	17.0	8.0	7.0	15.0	12.0	k__Bacteria; p__Armatimonadetes; c__0319-6E2; o__; f__; g__; s__
OTU_dn_2511	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__; g__; s__
206405	143.0	273.0	116.0	91.0	18.0	117.0	24.0	153.0	91.0	193.0	22.0	39.0	101.0	151.0	34.0	274.0	30.0	396.0	24.0	253.0	26.0	295.0	33.0	78.0	23.0	159.0	22.0	84.0	48.0	302.0	37.0	131.0	72.0	94.0	40.0	115.0	66.0	74.0	64.0	146.0	22.0	65.0	23.0	266.0	32.0	110.0	74.0	82.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__
4345857	552.0	130.0	531.0	241.0	389.0	56.0	424.0	53.0	499.0	443.0	414.0	27.0	609.0	29.0	360.0	326.0	809.0	230.0	756.0	781.0	648.0	171.0	832.0	95.0	578.0	70.0	913.0	20.0	705.0	146.0	743.0	49.0	707.0	107.0	281.0	439.0	842.0	40.0	995.0	150.0	172.0	92.0	636.0	96.0	580.0	70.0	817.0	66.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
114049	314.0	143.0	321.0	23.0	21.0	57.0	240.0	100.0	23.0	3.0	11.0	2.0	459.0	2.0	246.0	15.0	64.0	79.0	58.0	26.0	36.0	17.0	58.0	5.0	61.0	23.0	64.0	5.0	44.0	54.0	52.0	65.0	40.0	24.0	17.0	24.0	45.0	6.0	45.0	0.0	1.0	3.0	110.0	20.0	68.0	13.0	45.0	132.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__
679787	98.0	37.0	61.0	13.0	10.0	32.0	62.0	15.0	19.0	2.0	3.0	0.0	81.0	11.0	14.0	22.0	101.0	7.0	122.0	2.0	123.0	7.0	109.0	1.0	130.0	27.0	157.0	13.0	85.0	14.0	110.0	27.0	10.0	4.0	0.0	1.0	11.0	1.0	8.0	2.0	2.0	3.0	64.0	2.0	1.0	1.0	11.0	5.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
1053775	67.0	65.0	86.0	71.0	185.0	24.0	113.0	35.0	73.0	51.0	151.0	33.0	99.0	53.0	224.0	70.0	89.0	57.0	94.0	84.0	109.0	83.0	80.0	76.0	77.0	83.0	97.0	98.0	120.0	65.0	80.0	51.0	134.0	61.0	67.0	36.0	132.0	44.0	162.0	65.0	94.0	72.0	110.0	104.0	81.0	55.0	156.0	56.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
