Sample	WU_Axis1	WU_Axis2	Treatment	Type	PD_whole_tree_alpha	shannon_alpha	TreatmentType
C1c16S rRNA Gene	-0.109882407	0.001597242	Control	16S rRNA	246.94278	9.648743587	Control16S rRNA
C116S rRNA Gene	0.14662709	-0.044198901	Control	16S rRNA Gene	245.23402	9.696953981	Control16S rRNA Gene
C2c16S rRNA Gene	-0.115849784	-0.000443413	Control	16S rRNA	237.93026	9.624742467	Control16S rRNA
C216S rRNA Gene	0.132846709	-0.009598827	Control	16S rRNA Gene	233.34337	9.693072094	Control16S rRNA Gene
C3c16S rRNA Gene	-0.129169214	0.088858818	Control	16S rRNA	235.43446	9.769141993	Control16S rRNA
C316S rRNA Gene	0.146162922	-0.018037684	Control	16S rRNA Gene	257.6369	9.910101871	Control16S rRNA Gene
C4c16S rRNA Gene	-0.105056517	0.012922931	Control	16S rRNA	224.98329	9.913134045	Control16S rRNA
C416S rRNA Gene	0.151950399	-0.02566445	Control	16S rRNA Gene	247.56504	9.826006994	Control16S rRNA Gene
C5c16S rRNA Gene	-0.11269918	0.067979255	Control	16S rRNA	233.54049	9.694921852	Control16S rRNA
C516S rRNA Gene	0.123449232	-0.013077982	Control	16S rRNA Gene	252.89047	9.918423392	Control16S rRNA Gene
C6c16S rRNA Gene	-0.129872906	0.112710974	Control	16S rRNA	236.62823	9.800155859	Control16S rRNA
C616S rRNA Gene	0.173751833	0.029501353	Control	16S rRNA Gene	210.35354	9.293598781	Control16S rRNA Gene
C7c16S rRNA Gene	-0.132650468	-0.013731157	Control	16S rRNA	240.7541	9.608026303	Control16S rRNA
C716S rRNA Gene	0.1117644	-0.050267701	Control	16S rRNA Gene	214.69775	9.5127429	Control16S rRNA Gene
C8c16S rRNA Gene	-0.086256573	0.010614207	Control	16S rRNA	200.4009	9.717588945	Control16S rRNA
C816S rRNA Gene	0.100586212	-0.117796664	Control	16S rRNA Gene	210.97453	9.263933083	Control16S rRNA Gene
D1c16S rRNA Gene	-0.095097896	-0.176051433	Drought	16S rRNA	201.6199	9.363745876	Drought16S rRNA
D116S rRNA Gene	0.089042315	0.019544284	Drought	16S rRNA Gene	261.63625	10.0012539	Drought16S rRNA Gene
D2c16S rRNA Gene	-0.058265692	-0.168550658	Drought	16S rRNA	206.20748	9.458238791	Drought16S rRNA
D216S rRNA Gene	0.077273889	-0.014497709	Drought	16S rRNA Gene	224.202	9.553849175	Drought16S rRNA Gene
